Survived,Pclass,Title,Sex,Age,Fare,Cabin,Embarked
0,3,Mr.,male,22,7.25,Unknown,Southampton
1,1,Mrs.,female,38,71.2833,C,Cherbourg
1,3,Miss,female,26,7.925,Unknown,Southampton
1,1,Mrs.,female,35,53.1,C,Southampton
0,3,Mr.,male,35,8.05,Unknown,Southampton
0,3,Mr.,male,29,8.4583,Unknown,Queenstown
0,1,Mr.,male,54,51.8625,E,Southampton
0,3,Master,male,2,21.075,Unknown,Southampton
1,3,Mrs.,female,27,11.1333,Unknown,Southampton
1,2,Mrs.,female,14,30.0708,Unknown,Cherbourg
1,3,Miss,female,4,16.7,G,Southampton
1,1,Miss,female,58,26.55,C,Southampton
0,3,Mr.,male,20,8.05,Unknown,Southampton
0,3,Mr.,male,39,31.275,Unknown,Southampton
0,3,Miss,female,14,7.8542,Unknown,Southampton
1,2,Mrs.,female,55,16,Unknown,Southampton
0,3,Master,male,2,29.125,Unknown,Queenstown
1,2,Mr.,male,20,13,Unknown,Southampton
0,3,Mrs.,female,31,18,Unknown,Southampton
1,3,Mrs.,female,24,7.225,Unknown,Cherbourg
0,2,Mr.,male,35,26,Unknown,Southampton
1,2,Mr.,male,34,13,D,Southampton
1,3,Miss,female,15,8.0292,Unknown,Queenstown
1,1,Mr.,male,28,35.5,A,Southampton
0,3,Miss,female,8,21.075,Unknown,Southampton
1,3,Mrs.,female,38,31.3875,Unknown,Southampton
0,3,Mr.,male,39,7.225,Unknown,Cherbourg
0,1,Mr.,male,19,263,C,Southampton
1,3,Miss,female,44,7.8792,Unknown,Queenstown
0,3,Mr.,male,25,7.8958,Unknown,Southampton
0,1,Mr.,male,40,27.7208,Unknown,Cherbourg
1,1,Mrs.,female,34,146.5208,B,Cherbourg
1,3,Miss,female,26,7.75,Unknown,Queenstown
0,2,Mr.,male,66,10.5,Unknown,Southampton
0,1,Mr.,male,28,82.1708,Unknown,Cherbourg
0,1,Mr.,male,42,52,Unknown,Southampton
1,3,Mr.,male,26,7.2292,Unknown,Cherbourg
0,3,Mr.,male,21,8.05,Unknown,Southampton
0,3,Miss,female,18,18,Unknown,Southampton
1,3,Miss,female,14,11.2417,Unknown,Cherbourg
0,3,Mrs.,female,40,9.475,Unknown,Southampton
0,2,Mrs.,female,27,21,Unknown,Southampton
0,3,Mr.,male,39,7.8958,Unknown,Cherbourg
1,2,Miss,female,3,41.5792,Unknown,Cherbourg
1,3,Miss,female,19,7.8792,Unknown,Queenstown
0,3,Mr.,male,33,8.05,Unknown,Southampton
0,3,Mr.,male,18,15.5,Unknown,Queenstown
1,3,Miss,female,29,7.75,Unknown,Queenstown
0,3,Mr.,male,26,21.6792,Unknown,Cherbourg
0,3,Mrs.,female,18,17.8,Unknown,Southampton
0,3,Master,male,7,39.6875,Unknown,Southampton
0,3,Mr.,male,21,7.8,Unknown,Southampton
1,1,Mrs.,female,49,76.7292,D,Cherbourg
1,2,Mrs.,female,29,26,Unknown,Southampton
0,1,Mr.,male,65,61.9792,B,Cherbourg
1,1,Mr.,male,41,35.5,C,Southampton
1,2,Miss,female,21,10.5,Unknown,Southampton
0,3,Mr.,male,29,7.2292,Unknown,Cherbourg
1,2,Miss,female,5,27.75,Unknown,Southampton
0,3,Master,male,11,46.9,Unknown,Southampton
0,3,Mr.,male,22,7.2292,Unknown,Cherbourg
1,1,Miss,female,38,80,B,Southampton
0,1,Mr.,male,45,83.475,C,Southampton
0,3,Master,male,4,27.9,Unknown,Southampton
0,1,Mr.,male,34,27.7208,Unknown,Cherbourg
1,3,Master,male,43,15.2458,Unknown,Cherbourg
1,2,Mrs.,female,29,10.5,F,Southampton
0,3,Mr.,male,19,8.1583,Unknown,Southampton
1,3,Miss,female,17,7.925,Unknown,Southampton
0,3,Mr.,male,26,8.6625,Unknown,Southampton
0,2,Mr.,male,32,10.5,Unknown,Southampton
0,3,Miss,female,16,46.9,Unknown,Southampton
0,2,Mr.,male,21,73.5,Unknown,Southampton
0,3,Mr.,male,26,14.4542,Unknown,Cherbourg
1,3,Mr.,male,32,56.4958,Unknown,Southampton
0,3,Mr.,male,25,7.65,F,Southampton
0,3,Mr.,male,34,7.8958,Unknown,Southampton
0,3,Mr.,male,17,8.05,Unknown,Southampton
1,2,Master,male,19,29,Unknown,Southampton
1,3,Miss,female,30,12.475,Unknown,Southampton
0,3,Mr.,male,22,9,Unknown,Southampton
1,3,Mr.,male,29,9.5,Unknown,Southampton
1,3,Miss,female,22,7.7875,Unknown,Queenstown
0,1,Mr.,male,28,47.1,Unknown,Southampton
1,2,Miss,female,17,10.5,Unknown,Southampton
1,3,Mrs.,female,33,15.85,Unknown,Southampton
0,3,Mr.,male,16,34.375,Unknown,Southampton
0,3,Mr.,male,41,8.05,Unknown,Southampton
1,1,Miss,female,23,263,C,Southampton
0,3,Mr.,male,24,8.05,Unknown,Southampton
0,3,Mr.,male,29,8.05,Unknown,Southampton
0,3,Mr.,male,20,7.8542,Unknown,Southampton
0,1,Mr.,male,46,61.175,E,Southampton
0,3,Mr.,male,26,20.575,Unknown,Southampton
0,3,Mr.,male,59,7.25,Unknown,Southampton
0,3,Mr.,male,23,8.05,Unknown,Southampton
0,1,Mr.,male,71,34.6542,A,Cherbourg
1,1,Mr.,male,23,63.3583,D,Cherbourg
1,2,Mrs.,female,34,23,Unknown,Southampton
0,2,Mr.,male,34,26,Unknown,Southampton
0,3,Miss,female,28,7.8958,Unknown,Southampton
0,3,Mr.,male,30,7.8958,Unknown,Southampton
0,1,Mr.,male,21,77.2875,D,Southampton
0,3,Mr.,male,33,8.6542,Unknown,Southampton
0,3,Mr.,male,37,7.925,Unknown,Southampton
0,3,Mr.,male,28,7.8958,Unknown,Southampton
1,3,Miss,female,21,7.65,Unknown,Southampton
1,3,Mr.,male,16,7.775,Unknown,Southampton
0,3,Mr.,male,38,7.8958,Unknown,Southampton
1,3,Miss,female,19,24.15,Unknown,Queenstown
0,1,Mr.,male,47,52,C,Southampton
0,3,Miss,female,40,14.4542,Unknown,Cherbourg
0,3,Mr.,male,22,8.05,Unknown,Southampton
0,3,Miss,female,20,9.825,Unknown,Southampton
0,3,Miss,female,17,14.4583,Unknown,Cherbourg
0,3,Mr.,male,21,7.925,Unknown,Southampton
0,3,Mr.,male,26,7.75,Unknown,Queenstown
0,2,Mr.,male,29,21,Unknown,Southampton
0,1,Mr.,male,24,247.5208,B,Cherbourg
0,3,Miss,female,2,31.275,Unknown,Southampton
0,2,Mr.,male,21,73.5,Unknown,Southampton
0,3,Mr.,male,26,8.05,Unknown,Southampton
0,2,Mr.,male,37,30.0708,Unknown,Cherbourg
1,2,Miss,female,36,13,E,Southampton
0,1,Mr.,male,54,77.2875,D,Southampton
1,3,Master,male,12,11.2417,Unknown,Cherbourg
0,3,Mr.,male,42,7.75,Unknown,Queenstown
1,3,Mr.,male,24,7.1417,Unknown,Southampton
1,3,Miss,female,21,22.3583,F,Cherbourg
0,3,Mr.,male,45,6.975,Unknown,Southampton
0,3,Mr.,male,33,7.8958,Unknown,Cherbourg
0,3,Mr.,male,20,7.05,Unknown,Southampton
0,3,Mrs.,female,47,14.5,Unknown,Southampton
1,2,Mrs.,female,29,26,Unknown,Southampton
0,2,Mr.,male,25,13,Unknown,Southampton
0,2,Mr.,male,23,15.0458,Unknown,Cherbourg
1,1,Miss,female,19,26.2833,D,Southampton
0,1,Mr.,male,37,53.1,C,Southampton
0,3,Mr.,male,16,9.2167,Unknown,Southampton
0,1,Mr.,male,24,79.2,B,Cherbourg
0,3,Mrs.,female,35,15.2458,Unknown,Cherbourg
1,3,Miss,female,22,7.75,Unknown,Southampton
1,3,Mrs.,female,24,15.85,Unknown,Southampton
0,3,Mr.,male,19,6.75,Unknown,Queenstown
0,2,Mr.,male,18,11.5,Unknown,Southampton
0,2,Mr.,male,19,36.75,Unknown,Southampton
1,3,Mr.,male,27,7.7958,Unknown,Southampton
0,3,Miss,female,9,34.375,Unknown,Southampton
0,2,Mr.,male,27,26,F,Southampton
0,2,Reverend,male,42,13,Unknown,Southampton
0,2,Reverend,male,51,12.525,Unknown,Southampton
1,1,Mrs.,female,22,66.6,C,Southampton
0,3,Mr.,male,26,8.05,Unknown,Southampton
0,3,Mr.,male,23,14.5,Unknown,Southampton
0,3,Mr.,male,34,7.3125,Unknown,Southampton
0,1,Mr.,male,51,61.3792,Unknown,Cherbourg
1,3,Miss,female,16,7.7333,Unknown,Queenstown
0,3,Mr.,male,30,8.05,Unknown,Southampton
0,3,Mr.,male,32,8.6625,Unknown,Southampton
0,3,Master,male,42,69.55,Unknown,Southampton
0,3,Mr.,male,44,16.1,Unknown,Southampton
1,2,Mrs.,female,40,15.75,Unknown,Southampton
0,3,Mr.,male,26,7.775,Unknown,Southampton
0,3,Mr.,male,17,8.6625,Unknown,Southampton
0,3,Master,male,1,39.6875,Unknown,Southampton
1,3,Master,male,9,20.525,Unknown,Southampton
1,1,Mrs.,female,39,55,E,Southampton
0,3,Mrs.,female,45,27.9,Unknown,Southampton
0,1,Mr.,male,21,25.925,Unknown,Southampton
0,3,Mr.,male,28,56.4958,Unknown,Southampton
0,1,Mr.,male,61,33.5,B,Southampton
0,3,Master,male,4,29.125,Unknown,Queenstown
1,3,Miss,female,1,11.1333,Unknown,Southampton
0,3,Mr.,male,21,7.925,Unknown,Southampton
0,1,Mr.,male,56,30.6958,A,Cherbourg
0,3,Mr.,male,18,7.8542,Unknown,Southampton
0,3,Master,male,22,25.4667,Unknown,Southampton
0,1,Miss,female,50,28.7125,C,Cherbourg
0,2,Mr.,male,30,13,Unknown,Southampton
0,3,Mr.,male,36,0,Unknown,Southampton
0,3,Miss,female,25,69.55,Unknown,Southampton
0,2,Mr.,male,17,15.05,Unknown,Cherbourg
0,3,Master,male,9,31.3875,Unknown,Southampton
1,2,Master,male,1,39,F,Southampton
1,3,Miss,female,4,22.025,Unknown,Southampton
0,1,Mr.,male,42,50,A,Southampton
1,3,Mrs.,female,36,15.5,Unknown,Queenstown
1,1,Mr.,male,45,26.55,Unknown,Southampton
0,3,Mr.,male,40,15.5,Unknown,Queenstown
0,3,Mr.,male,36,7.8958,Unknown,Southampton
1,2,Mrs.,female,32,13,Unknown,Southampton
0,2,Mr.,male,19,13,Unknown,Southampton
1,3,Miss,female,19,7.8542,Unknown,Southampton
1,2,Master,male,3,26,F,Southampton
1,1,Mrs.,female,44,27.7208,B,Cherbourg
1,1,Miss,female,58,146.5208,B,Cherbourg
0,3,Mr.,male,43,7.75,Unknown,Queenstown
0,3,Mr.,male,42,8.4042,Unknown,Southampton
1,3,Miss,female,37,7.75,Unknown,Queenstown
0,2,Miss,female,24,13,Unknown,Southampton
0,3,Mr.,male,28,9.5,Unknown,Southampton
0,3,Mr.,male,23,69.55,Unknown,Southampton
0,3,Mr.,male,34,6.4958,Unknown,Southampton
0,3,Mr.,male,41,7.225,Unknown,Cherbourg
1,3,Mr.,male,18,8.05,Unknown,Southampton
0,3,Miss,female,2,10.4625,G,Southampton
